1004

hql	jpql	1
('hql', 'more', 'jpql', '', '16886935', 'because hql is more or less superset of jpql it of course works also in hql\n')

pbkdf2	hash	3
('pbkdf2', 'slower standard', 'hash', 'performance', '13395733', 'key derivation algorithms such as bcrypt and pbkdf2 aka rfc2898derivebytes are much slower than standard hash algorithms\n')
('pbkdf2', 'quicker', 'hash', '', '116767', 'a key-stretching algorithm like pbkdf2 applies a quicker hash like sha512 thousands of times typically causing the hash generation to take 1 5 of a second or so\n')
('pbkdf2', 'better plain', 'hash', '', '7029421', 'key strengthening techniques such as bcrypt or pbkdf2 are generally considered better than plain hash since cracking them requires more resources\n')

model-glue	coldspring	1
('model-glue', 'easier', 'coldspring', 'usability', '7291086', 'fortunately model-glue has tight integration with coldspring a popular bean container for cfml and model-glue 3 makes it easier than ever to use coldspring beans in your controllers\n')

pdflib	pdfbox	2
('pdflib', 'tet slightly better', 'pdfbox', '', '22675690', 'edit 31 march 2014 for what it s worth i have found that pdfbox is much better at text extraction than itextsharp notwithstanding a bespoke strategy implementation and pdflib tet is slightly better than pdfbox but it s quite expensive\n')
('pdflib', 'better', 'pdfbox', '', '22675690', 'edit 31 march 2014 for what it s worth i have found that pdfbox is much better at text extraction than itextsharp notwithstanding a bespoke strategy implementation and pdflib tet is slightly better than pdfbox but it s quite expensive\n')

png	gif	40
('png', 'definitely better', 'gif', '', '10941029', 'while png is definitely better that gif occasionally there is a use case for needing to stay in gif format\n')
('gif', 'file smaller', 'png', 'memory', '8596064', 'it might help to reduce your gif file sizes smaller oh and i believe -depth 8 can only be used for png images\n')
('gif', 'smaller', 'png', 'memory', '2523038', 'but keep in mind that the gif color palette is way smaller than png\n')
('png', 'better alpha', 'gif', '', '9424505', 'png gives you better alpha result than gif\n')
('png', 'format better', 'gif', '', '10666583', 'according to wikipedia the png format provides better compression than gif\n')
('png', 'newer format', 'gif', '', '610542', 'png is a newer format and often better than either jpeg of gif - especially for screenshots\n')
('png', 'wider', 'gif', '', '2336552', 'png has a wider color pallete than gif and gif is properitary while png is not\n')
('gif', 'larger', 'png', 'memory', '6850687', 'it will always be a web format which basically comes down to jpg png and gif with gif being very unlikely because of its limitations gif can contain 256 colors at most and is generally larger than png\n')
('png', 'better', 'gif', '', '9424505', 'png gives you better alpha result than gif\n')
('png', 'newer', 'gif', '', '610542', 'png is a newer format and often better than either jpeg of gif - especially for screenshots\n')
('png', 'better', 'gif', '', '319433', 'paul points out that png compresses static line art better than gif for nearly every situation\n')
('gif', 'smaller', 'png', 'memory', '2686734', 'gif is smaller because it s based on an colour palette of 256 colours rather than the separate rgb values for each pixel or group of pixels in jpg and png\n')
('png', 'better support', 'gif', 'usability', '11199578', 'for example png has better support for transparency than gif or jpeg\n')
('png', 'better', 'gif', '', '4288557', 'many people don t know about 8-bit png which is usually better than gif in size.\n')
('png', 'not bigger', 'gif', 'memory', '5134831', 'also if i change all to png is not bigger and alos i am using prawn pdf outputting these images so cant use gif\n')
('png', 'wider color', 'gif', '', '2336552', 'png has a wider color pallete than gif and gif is properitary while png is not\n')
('png', 'much better', 'gif', '', '1200232', 'png compresses much better than gif and allows more colors at the same time\n')
('gif', 'smaller palette', 'png', 'memory', '12416387', 'one thing to note is that gif supports a smaller palette than png - only up to 256 colors\n')
('png', 'never worse', 'gif', '', '115838', 'as a general rule png is never worse and often better than gif because of superior compression\n')
('png', 'better', 'gif', '', '11199578', 'for example png has better support for transparency than gif or jpeg\n')
('gif', 'file smaller oh', 'png', 'memory', '8596064', 'it might help to reduce your gif file sizes smaller oh and i believe -depth 8 can only be used for png images\n')
('png', 'larger equivalent', 'gif', 'memory', '116461', 'if your png files are coming out larger than equivalent gif files it is almost certainly because your source image has more than 256 colors\n')
('gif', 'smaller', 'png', 'memory', '12416387', 'one thing to note is that gif supports a smaller palette than png - only up to 256 colors\n')
('png', 'larger', 'gif', 'memory', '610573', 'jpg and png work well for most applications but the files will be larger than gif for very simple graphics\n')
('gif', 'larger', 'png', 'memory', '18601225', 'i m not sure if this matters but the gif is significantly larger than the png files\n')
